net,length_um
_07274_,188.22
_14297_,188.09
_07031_,187.88
_09014_,187.88
_07724_,187.84
_00709_,187.71
_01533_,187.62
_09704_,187.56
_06083_,187.5
_09292_,187.34
_08123_,187.15
_00715_,187.06
_07914_,186.835
_09569_,186.72
_14486_,186.7
_02599_,186.68
_09278_,186.46
_06991_,186.42
_11927_,186.42
_02286_,186.38
_01246_,186.235
_06485_,186.17
_02117_,186.16
_14280_,186.12
_02593_,186.09
_11488_,185.92
_02838_,185.35
_09282_,184.67
_13527_,184.41
_14501_,184.18
_14371_,184.1
_07264_,183.84
_09306_,183.76
_13984_,183.71
_07875_,183.46
_05865_,183.385
_09094_,183.2
_07482_,183.18
_05943_,183.14
_08294_,183.07
_12502_,183.04
_05939_,182.92
_08905_,182.8
_09016_,181.92
_00678_,181.65
_03228_,181.57
_13936_,181.3
_08038_,180.965
_10822_,180.62
_06898_,180.6
_07356_,180.48
_09217_,180.41
_09120_,180.16
_09173_,180.04
_03558_,179.8
_04555_,179.8
_01694_,179.745
_06869_,179.72
_11049_,179.6
_02780_,179.42
_00912_,179.36
_07557_,179.11
_08344_,179.1
clknet_3_0__leaf_clk,178.95
_02701_,178.875
_14001_,178.8
_08797_,178.78
_09645_,178.78
_05280_,178.6
_03106_,178.37
_09230_,178.22
_05714_,178.1
_14204_,178.04
_07339_,177.65
_14287_,177.58
_06792_,177.54
_01160_,177.49
_01998_,177.2
_03252_,176.82
_02224_,176.53
_08808_,176.485
_07222_,176.24
_07718_,176.15
_02077_,176.06
_08040_,175.97
_02873_,175.83
_10772_,175.78
_14278_,175.04
_11315_,174.97
_09465_,174.92
_09210_,174.9
_09325_,174.88
_01373_,174.45
_04267_,174.36
_02611_,174.34
_01682_,174.29
_08159_,174.22
_01685_,174.05
_05214_,173.94
_10223_,173.93
_07770_,173.92
_07976_,173.83
_08904_,173.82
_14408_,173.6
_14101_,173.56
_08903_,173.46
_07027_,173.225
_08272_,173.22
_13995_,173.2
_13020_,173.16
_02081_,173.14
_03555_,173.13
_14358_,172.86
_08936_,172.71
_01777_,172.35
_14439_,172.28
_05873_,172.22
_09945_,172.22
_11044_,172.2
_09572_,172.16
_08158_,171.83
_09623_,171.82
_06804_,171.575
_14449_,171.34
_08275_,171.14
_01281_,170.96
_06577_,170.91
_08044_,170.8
_07582_,170.48
_09518_,170.42
_10719_,170.16
_10819_,170.08
_08782_,169.9
_09491_,169.88
_14233_,169.86
_07349_,169.52
_14487_,169.4
_01617_,169.28
_09103_,169.27
_14050_,169.15
_14402_,169.04
_02544_,168.89
_06527_,168.89
_07508_,168.62
_07781_,168.35
_09804_,168.35
_03461_,168.32
_01020_,168.29
_02597_,168.24
_05692_,168.24
_12480_,168.22
_06383_,168.18
_08685_,168.16
